"m.id";"o.id";"n.year_of_publication";"n.Erscheinungsort";"n.controversy";"n.type"
"02-0859";"02-0838";1575;"Heidelberg";"Schwenckfeld";"author-opponent"
"02-0382";"02-0879";1575;"Heidelberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0758";"02-0442";1577;"Helmstedt";"Allgemeiner Druck";"author-opponent"
"02-0741";"02-0666";1580;"Helmstedt";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0867";1580;"Helmstedt";"Abendmahlslehre und Christologie";"author-opponent"
"02-0848";"02-0655";1562;"Ingolstadt";"allgemeiner Druck / antikatholisch";"author-opponent"
"02-0512";"02-0655";1565;"Ingolstadt";"Abendmahlslehre und Christologie";"author-opponent"
"02-0512";"02-0655";1564;"Ingolstadt";"Abendmahlslehre und Christologie";"author-opponent"
"02-0848";"02-0655";1561;"Ingolstadt";"Allgemeiner Druck";"author-opponent"
"02-0716";"02-0517";1561;"Jena";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0655";1570;"Jena";"Allgemeiner Druck";"author-opponent"
"02-0783";"02-0716";1572;"Jena";"Erbsündenstreit";"author-opponent"
"02-0791";"02-0716";1573;"Jena";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0716";1570;"Jena";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0716";1572;"Jena";"Erbsündenstreit";"author-opponent"
"02-0758";"02-0716";1572;"Jena";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0716";1572;"Jena";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0716";1571;"Jena";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0716";1572;"Jena";"Erbsündenstreit";"author-opponent"
"02-0752";"02-0775";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0752";"02-0775";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0802";"02-0775";1561;"Jena";"Allgemeiner Druck / Antinomistischer Streit";"author-opponent"
"02-0741";"02-0775";1571;"Jena";"Allgemeine Schrift";"author-opponent"
"02-0691";"02-0775";1570;"Jena";"Synergistischer Streit";"author-opponent"
"02-0716";"02-0784";1557;"Jena";"Majoristischer Streit";"author-opponent"
"02-0802";"02-0784";1558;"Jena";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0654";"02-0784";1558;"Jena";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0716";"02-0784";1558;"Jena";"Adiaphoristischer/Majoristischer Streit";"author-opponent"
"02-0654";"02-0784";1558;"Jena";"allgemeiner Druck / Synergistischer Streit";"author-opponent"
"02-0716";"02-0784";1558;"Jena";"allgemeiner Druck / Synergistischer Streit";"author-opponent"
"02-0722";"02-0800";1562;"Jena";"Abendmahlslehre und Christologie / Osiandrischer Streit";"author-opponent"
"02-0752";"02-0800";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0752";"02-0800";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0802";"02-0800";1561;"Jena";"Allgemeiner Druck / Antinomistischer Streit";"author-opponent"
"02-0741";"02-0800";1571;"Jena";"Allgemeine Schrift";"author-opponent"
"02-0716";"02-0808";1559;"Jena";"Antinomistischer Streit";"author-opponent"
"02-0691";"02-0810";1570;"Jena";"Synergistischer Streit";"author-opponent"
"02-0654";"02-0810";1558;"Jena";"allgemeiner Druck / Synergistischer Streit";"author-opponent"
"02-0716";"02-0810";1558;"Jena";"allgemeiner Druck / Synergistischer Streit";"author-opponent"
"02-0850";"02-0810";1558;"Jena";"Synergistischer Streit";"author-opponent"
"02-0654";"02-0810";1554;"Jena";"Adiaphoristischer Streit";"author-opponent"
"02-1029";"02-0810";1557;"Jena";"Allgemeiner Druck";"author-opponent"
"02-0716";"02-0811";1554;"Jena";"Antikatholisch";"author-opponent"
"02-0816";"02-0838";1556;"Jena";"Schwenckfeld";"author-opponent"
"02-0752";"02-0838";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0752";"02-0838";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0716";"02-0838";1559;"Jena";"Schwenckfeld";"author-opponent"
"02-0802";"02-0838";1561;"Jena";"Allgemeiner Druck / Antinomistischer Streit";"author-opponent"
"02-0752";"02-0847";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0752";"02-0847";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0716";"02-0851";1562;"Jena";"Synergistischer Streit";"author-opponent"
"02-0752";"02-0890";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0752";"02-0890";1559;"Jena";"Obrigkeitliche Dokumente";"author-opponent"
"02-0716";"02-0935";1559;"Jena";"Schwenckfeld";"author-opponent"
"02-0741";"02-0090";1564;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0847";"02-0168";1551;"s.l.";"Stancaristischer Streit";"author-opponent"
"02-0755";"02-0654";1563;"s.l.";"Magdeburger Streit";"author-opponent"
"02-0879";"02-0654";1563;"s.l.";"Magdeburger Streit";"author-opponent"
"02-0716";"02-0655";1575;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0384";"02-0655";1565;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0655";1576;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0655";1578;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0749";"02-0658";1580;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0856";"02-0665";1552;"s.l.";"Antikatholisch";"author-opponent"
"02-0680";"02-0666";1577;"s.l.";"Christologie";"author-opponent"
"02-0384";"02-0673";1565;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0833";"02-0693";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0693";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0833";"02-0696";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0696";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0647";"02-0706";1558;"s.l.";"Abendmahlslehre und Christologie / Schwenckfeld";"author-opponent"
"02-0854";"02-0714";1569;"s.l.";"Antinomistischer Streit";"author-opponent"
"02-0662";"02-0716";1557;"s.l.";"Allgemeiner Druck";"author-opponent"
"02-0791";"02-0733";1562;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0737";"02-0741";1570;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0807";"02-0741";1577;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0775";1557;"s.l.";"Majoristischer  Streit";"author-opponent"
"02-0722";"02-0775";1568;"s.l.";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1568;"s.l.";"Majoristischer Streit";"author-opponent"
"02-0802";"02-0784";1558;"s.l.";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0784";1557;"s.l.";"Majoristischer  Streit";"author-opponent"
"02-0845";"02-0785";1579;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0845";"02-0785";1575;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0833";"02-0786";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0786";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0647";"02-0791";1557;"s.l.";"Schwenckfeld";"author-opponent"
"02-0741";"02-0798";1564;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0789";"02-0800";1552;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0751";"02-0800";1556;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0667";"02-0800";1552;"s.l.";"Osiandrischer Streit";"author-opponent"
"02-0845";"02-0807";1579;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0833";"02-0808";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0808";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0833";"02-0809";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0809";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0819";1564;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0707";"02-0830";1565;"s.l.";"Magdeburger Streit";"author-opponent"
"02-0845";"02-0832";1579;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0662";"02-0838";1557;"s.l.";"Allgemeiner Druck";"author-opponent"
"02-0647";"02-0838";1558;"s.l.";"Abendmahlslehre und Christologie / Schwenckfeld";"author-opponent"
"02-0774";"02-0845";1580;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0647";"02-0848";1558;"s.l.";"Abendmahlslehre und Christologie / Schwenckfeld";"author-opponent"
"02-0833";"02-0851";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0851";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0852";1562;"s.l.";"Synergistischer Streit";"author-opponent"
"02-0755";"02-0852";1562;"s.l.";"Synergistischer Streit";"author-opponent"
"02-0722";"02-0852";1562;"s.l.";"Synergistischer Streit";"author-opponent"
"02-0879";"02-0852";1562;"s.l.";"Synergistischer Streit";"author-opponent"
"02-0793";"02-0857";1562;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0733";"02-0857";1562;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0862";1564;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0061";"02-0868";1558;"s.l.";"Allgemeiner Druck / Wormser Gespräch";"author-opponent"
"02-0817";"02-0876";1557;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0833";"02-0878";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0878";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0737";"02-0879";1570;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0067";"02-0879";1573;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0717";"02-0879";1574;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0833";"02-0899";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0899";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0845";"02-0905";1579;"s.l.";"Erbsündenstreit";"author-opponent"
"02-0833";"02-0993";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0102";"02-0993";1568;"s.l.";"Abendmahlslehre und Christologie";"author-opponent"
"02-0647";"02-1006";1558;"s.l.";"Abendmahlslehre und Christologie / Schwenckfeld";"author-opponent"
"02-0800";"02-0653";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0654";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0676";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0685";"02-0681";1567;"Königsberg";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"author-opponent"
"02-0789";"02-0681";1567;"Königsberg";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"author-opponent"
"02-0879";"02-0681";1574;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0699";1574;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0879";"02-0699";1574;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0800";"02-0716";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0680";"02-0716";1575;"Königsberg";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0716";1574;"Königsberg";"Erbsündenstreit";"author-opponent"
"02-0800";"02-0721";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0722";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0879";"02-0741";1578;"Königsberg";"Abendmahlslehre und Christologie?";"author-opponent"
"02-0879";"02-0741";1578;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0800";"02-0760";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0879";"02-0766";1574;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0835";"02-0775";1575;"Königsberg";"Majoristischer Streit";"author-opponent"
"02-0680";"02-0775";1575;"Königsberg";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0782";1574;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0800";"02-0782";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0784";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0872";"02-0789";1557;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0789";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0789";1551;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0789";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0872";"02-0789";1558;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0872";"02-0789";1557;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0789";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0789";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0720";"02-0800";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0928";"02-0800";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0865";"02-0800";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0789";"02-0800";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0685";"02-0800";1567;"Königsberg";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"author-opponent"
"02-0789";"02-0800";1567;"Königsberg";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"author-opponent"
"02-0800";"02-0814";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0879";"02-0825";1575;"Königsberg";"Antitrinitarischer Streit";"author-opponent"
"02-0800";"02-0827";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0741";"02-0845";1574;"Königsberg";"Erbsündenstreit";"author-opponent"
"02-0789";"02-0872";1556;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0873";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0886";1549;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0924";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0879";"02-1005";1578;"Königsberg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0839";"02-1007";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0839";"02-1009";1552;"Königsberg";"Osiandrischer Streit";"author-opponent"
"02-0847";"02-0678";1562;"Krakau";"stancaristischer Streit";"author-opponent"
"02-0847";"02-0681";1562;"Krakau";"stancaristischer Streit";"author-opponent"
"02-0847";"02-0867";1562;"Krakau";"stancaristischer Streit";"author-opponent"
"02-0780";"02-0838";1575;"Laugingen";"Schwenckfeld";"author-opponent"
"02-0759";"02-0741";1563;"Lausanne";"Abendmahlslehre und Christologie";"author-opponent"
"02-0775";"02-0654";1553;"Leipzig";"Majoristischer Streit";"author-opponent"
"02-0841";"02-0665";1580;"Leipzig";"Diskussion FC / Abenmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0666";1579;"Leipzig";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0691";1570;"Leipzig";"Synergistischer Streit";"author-opponent"
"02-0841";"02-0691";1570;"Leipzig";"Allgemeiner Druck";"author-opponent"
"02-0841";"02-0699";1579;"Leipzig";"Abendmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0699";1579;"Leipzig";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0716";1551;"Leipzig";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1551;"Leipzig";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1551;"Leipzig";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0716";1562;"Leipzig";"Obrigkeitliche Dokumente";"author-opponent"
"02-0782";"02-0721";1562;"Leipzig";"Obrigkeitliche Dokumente";"author-opponent"
"02-0886";"02-0738";1548;"Leipzig";"Antikatholisch";"author-opponent"
"02-0653";"02-0800";1554;"Leipzig";"Osiandrischer Streit";"author-opponent"
"02-0782";"02-0847";1553;"Leipzig";"Stancaristischer Streit";"author-opponent"
"02-0782";"02-0847";1562;"Leipzig";"Obrigkeitliche Dokumente";"author-opponent"
"02-0782";"02-0848";1562;"Leipzig";"Obrigkeitliche Dokumente";"author-opponent"
"02-0749";"02-0655";1580;"Lemgo";"Konkordienformel";"author-opponent"
"02-0879";"02-0775";1568;"Lübeck";"Majoristischer Streit";"author-opponent"
"02-0812";"02-0800";1552;"Lübeck";"Osiandrischer Streit";"author-opponent"
"02-0659";"02-0800";1552;"Lübeck";"Osiandrischer Streit";"author-opponent"
"02-0741";"02-0061";1562;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0311";1553;"Magdeburg";"Antikatholisch";"author-opponent"
"02-0741";"02-0376";1564;"Magdeburg";"Magdeburger Streit";"author-opponent"
"02-0755";"02-0415";1559;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0879";"02-0415";1559;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0879";"02-0644";1558;"Magdeburg";"allgemeiner Druck";"author-opponent"
"02-0782";"02-0647";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0650";"02-0647";1548;"Magdeburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0637";"02-0647";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0686";"02-0647";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0647";1549;"Magdeburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0716";"02-0647";1549;"Magdeburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-1029";"02-0647";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0647";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0656";"02-0647";1548;"Magdeburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0716";"02-0647";1549;"Magdeburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0716";"02-0647";1549;"Magdeburg";"Widerstand gegen das Augsburger Interim";"author-opponent"
"02-0675";"02-0647";1551;"Magdeburg";"Widerstand gegen das Augsburger Interim / Adiaphoristischer Streit";"author-opponent"
"02-0741";"02-0654";1564;"Magdeburg";"Magdeburger Streit";"author-opponent"
"02-0741";"02-0666";1562;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0666";1562;"Magdeburg";"Erbsündenstreit";"author-opponent"
"02-0654";"02-0676";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0676";1552;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0654";"02-0676";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0654";"02-0676";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0654";"02-0676";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0676";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0676";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0876";"02-0678";1552;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0876";"02-0681";1552;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0876";"02-0681";1557;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0681";1562;"Magdeburg";"Erbsündenstreit";"author-opponent"
"02-0741";"02-0681";1562;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-1029";"02-0713";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0713";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0720";1555;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0720";1554;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0800";"02-0720";1553;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0673";"02-0720";1553;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0741";"02-0733";1560;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0733";1560;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0741";"02-0733";1561;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0665";"02-0738";1551;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0716";"02-0738";1550;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0716";"02-0738";1550;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0716";"02-0738";1553;"Magdeburg";"Antikatholisch";"author-opponent"
"02-0716";"02-0738";1553;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0716";"02-0738";1549;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"author-opponent"
"02-0376";"02-0741";1563;"Magdeburg";"Magdeburger Streit";"author-opponent"
"02-0654";"02-0741";1564;"Magdeburg";"Magdeburger Streit";"author-opponent"
"02-0716";"02-0747";1550;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0741";"02-0759";1562;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0876";"02-0766";1552;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0654";"02-0775";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0775";1554;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0646";"02-0775";1554;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1552;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0722";"02-0775";1552;"Magdeburg";"Adiaphoristischer / Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1552;"Magdeburg";"Adiaphoristischer Streit / Majoristischer Streit";"author-opponent"
"02-0654";"02-0775";1552;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0775";1553;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0775";1555;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0654";"02-0775";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-1029";"02-0775";1553;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0775";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0879";"02-0775";1558;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0879";"02-0775";1558;"Magdeburg";"allgemeiner Druck";"author-opponent"
"02-0716";"02-0775";1556;"Magdeburg";"Adiaphoristischer Streit / Majoristischer Streit";"author-opponent"
"02-0722";"02-0775";1553;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0716";"02-0775";1553;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0654";"02-0775";1553;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0654";"02-0775";1559;"Magdeburg";"Majoristischer Streit";"author-opponent"
"02-0782";"02-0782";1548;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0802";"02-0782";1548;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0782";1551;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0782";"02-0782";1550;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0716";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0876";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0741";"02-0782";1560;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0782";1549;"Magdeburg";"Adiaphoristischer Streit";"author-opponent"
"02-0789";"02-0782";1560;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-1029";"02-0782";1560;"Magdeburg";"Abendmahlslehre und Christologie";"author-opponent"
"02-0716";"02-0784";1556;"Magdeburg";"Adiaphoristischer Streit / Majoristischer Streit";"author-opponent"
"02-1029";"02-0800";1553;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0721";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0802";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0722";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0873";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0722";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0721";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-1029";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0654";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0827";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1552;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0879";"02-0800";1558;"Magdeburg";"allgemeiner Druck";"author-opponent"
"02-0716";"02-0800";1555;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0936";"02-0800";1555;"Magdeburg";"Schwenckfeld";"author-opponent"
"02-0789";"02-0800";1555;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0789";"02-0800";1555;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0673";"02-0800";1553;"Magdeburg";"Osiandrischer Streit";"author-opponent"
"02-0716";"02-0800";1553;"Magdeburg";"Osiandrischer Streit";"author-opponent"
