n.id,n.format,n.vd16_number,n.controversy,n.Erscheinungsort,n.year_of_publication
01-1070,4°,L 4721,Osiandrischer Streit,Königsberg,1551
01-1377,4°,V 561,Osiandrischer Streit,Königsberg,1552
01-1382,4°,B 1538,Osiandrischer Streit,Königsberg,1552
01-1383,4°,F 3378,Osiandrischer Streit,Königsberg,1552
01-1387,8°,O 1127,Osiandrischer Streit,Königsberg,1552
01-1391,4°,N 92,Osiandrischer Streit,Königsberg,1552
01-1393,4°,B 7715,Osiandrischer Streit,Königsberg,1552
01-1394,4°,O 1128,Osiandrischer Streit,Königsberg,1552
01-1395,4°,O 994,Osiandrischer Streit,Königsberg,1552
01-1396,4°,F 3386,Osiandrischer Streit,Königsberg,1551
01-1404,8°,O 1127,Osiandrischer Streit,Königsberg,1552
01-1414,4°,O 993,Osiandrischer Streit,Königsberg,1551
01-1415,4°,O 1000,Osiandrischer Streit,Königsberg,1551
01-1416,4°,ZV 12027,Osiandrischer Streit,Königsberg,1551
01-1417,4°,O 1092,Osiandrischer Streit,Königsberg,1551
01-1426,4°,O 1133,Osiandrischer Streit,Königsberg,1552
01-1428,4°,O 1005,Osiandrischer Streit,Königsberg,1551
01-1429,4°,B 1535,Osiandrischer Streit,Königsberg,1551
01-1439,4°,B 1537,Osiandrischer Streit,Königsberg,1552
01-1440,4°,O 1106,Osiandrischer Streit,Königsberg,1552
01-1443,4°,E 632,Osiandrischer Streit,Königsberg,1552
01-1475,8°,B 1536,Osiandrischer Streit,Königsberg,1551
01-1656,4°,O 1121,Osiandrischer Streit,Königsberg,1554
01-1658,4°,O 1100,Osiandrischer Streit,Königsberg,1553
01-1659,4°,P 4780,Osiandrischer Streit,Königsberg,1553
01-1660,4°,O 1095,Osiandrischer Streit,Königsberg,1553
01-1788,4°,V 2085,Osiandrischer Streit,Königsberg,1557
01-1833,4°,O 1120,Osiandrischer Streit,Königsberg,1551
01-1960,8°,M 5885,Osiandrischer Streit,Königsberg,1556
01-2018,12°,nicht in VD 16,Osiandrischer Streit,Königsberg,1552
01-2060,4°,L 3472,Osiandrischer Streit,Königsberg,1551
01-0777,4°,V 2108,Osiandrischer Streit?,Königsberg,1558
01-1653,4°,E 1012,Osiandrischer Streit/Widerstand gegen das Augsburger Interim,Königsberg,1551
01-0702,8°,--,Allgemeiner Druck,Kopenhagen,1566
01-1211,8°,--,stancaristischer Streit,Krakau,1562
01-1581,4°,H 3180,Adiaphoristischer Streit,Laugingen,1568
01-1498,4°,H 3131,Antikatholisch,Laugingen,1569
01-0177,4°,M 1799,Schwenckfeld,Laugingen,1575
01-1943,k. A.,--,Abendmahlslehre und Christologie,Lausanne,1563
01-0022,4°,S 5657,Abendmahlslehre und Christologie,Leipzig,1571
01-0214,4°,ZV 14335,Abendmahlslehre und Christologie,Leipzig,1577
01-0226,8°,L 3545,Abendmahlslehre und Christologie,Leipzig,1577
01-0256,4°,A 2520,Abendmahlslehre und Christologie,Leipzig,1579
01-0292,8°,T 776,Abendmahlslehre und Christologie,Leipzig,1567
01-0307,8°,M 236,Abendmahlslehre und Christologie,Leipzig,1568
01-0316,4°,C 2164,Abendmahlslehre und Christologie,Leipzig,1580
01-0319,8°,C 2527,Abendmahlslehre und Christologie,Leipzig,1568
01-0328,8°,V 1188,Abendmahlslehre und Christologie,Leipzig,1575
01-0358,4°,S 5537,Abendmahlslehre und Christologie,Leipzig,1571
01-0364,8°,C 1551,Abendmahlslehre und Christologie,Leipzig,1571
01-0427,8°,S 5661,Abendmahlslehre und Christologie,Leipzig,1575
01-0452,8°,S 5664,Abendmahlslehre und Christologie,Leipzig,1577
01-0460,8°,S 5662,Abendmahlslehre und Christologie,Leipzig,1577
01-0464,8°,S 5669,Abendmahlslehre und Christologie,Leipzig,1578
01-0465,4°,C 2163,Abendmahlslehre und Christologie,Leipzig,1578
01-0469,8°,S 5507,Abendmahlslehre und Christologie,Leipzig,1579
01-0471,k. A.,S 5507 angefügt,Abendmahlslehre und Christologie,Leipzig,1579
01-0489,4°,ZV 20910,Abendmahlslehre und Christologie,Leipzig,1563
01-0551,8°,C 2212,Abendmahlslehre und Christologie,Leipzig,1561
01-0552,8°,C 2211,Abendmahlslehre und Christologie,Leipzig,1561
01-0590,8°,ZV 17116,Abendmahlslehre und Christologie,Leipzig,1576
01-0619,8°,L 5430,Abendmahlslehre und Christologie,Leipzig,1562
01-1051,8°,B 8875,Abendmahlslehre und Christologie,Leipzig,1562
01-1176,8°,C 2207,Abendmahlslehre und Christologie,Leipzig,1561
01-1178,8°,S 5601,Abendmahlslehre und Christologie,Leipzig,1561
01-1199,8°,S 5602,Abendmahlslehre und Christologie,Leipzig,1562
01-1563,8°,S 5503,Abendmahlslehre und Christologie,Leipzig,1575
01-1921,4°,S 3317,Abendmahlslehre und Christologie,Leipzig,1580
01-1774,8°,T 768,Abendmahslehre und Christologie,Leipzig,1568
01-0958,8°,P 2326,Adiaphoristischer Streit,Leipzig,1550
01-1018,4°,M 3193,Adiaphoristischer Streit,Leipzig,1551
01-1360,4°,M 153,Adiaphoristischer Streit,Leipzig,1550
01-1397,4°,M 3195,Adiaphoristischer Streit,Leipzig,1551
01-1473,4°,G 1334,Adiaphoristischer Streit,Leipzig,1551
01-1650,8°,M 3749,Adiaphoristischer Streit,Leipzig,1549
01-1652,4°,ZV 10719,Adiaphoristischer Streit,Leipzig,1551
01-1780,8°,ZV 16762,Adiaphoristischer Streit,Leipzig,1550
01-1792,8°,ZV 16761,Adiaphoristischer Streit / Majoristischer Streit,Leipzig,1550
01-0959,8°,J 72,Adiaphoristischer Streit?,Leipzig,1550
01-2035,4°,L 6923,Allgemeine Schrift,Leipzig,1569
01-0106,8°,M 2675,allgemeiner Druck,Leipzig,1567
01-0146,4°,L 1045,Allgemeiner Druck,Leipzig,1570
01-0161,4°,S 5497,Allgemeiner Druck,Leipzig,1570
01-0228,4°,P 1066,allgemeiner Druck,Leipzig,1577
01-0320,2°,K 1949,Allgemeiner Druck,Leipzig,1570
01-0457,4°,A 2667,allgemeiner Druck,Leipzig,1577
01-0458,8°,A 2672,allgemeiner Druck,Leipzig,1577
01-0811,2°,G 2894,allgemeiner Druck,Leipzig,1560
01-1934,4°,S 5590,Allgemeiner Druck,Leipzig,1569
01-1938,4°,K 2006,Allgemeiner Druck,Leipzig,1584
01-0911,8°,Z 410,Antikatholisch,Leipzig,1548
01-1781,4°,S 1790,Antikatholisch,Leipzig,1551
01-1958,k. A.,--,Christologie,Leipzig,1581
01-0488,8°,S 5526,Diskussion FC / Abenmahlslehre und Christologie,Leipzig,1580
01-0222,4°,A 2518,Erbsündenstreit,Leipzig,1578
01-0487,8°,S 5600,Erbsündenstreit,Leipzig,1580
01-1242,8°,vgl. S 9629,k. A.,Leipzig,1565
01-1523,8°,ZV 16760,k. A.,Leipzig,1551
01-0322,8°,S 5463,Majoristischer Streit,Leipzig,1570
01-0647,k. A.,M 2186,Majoristischer Streit,Leipzig,1553
01-1032,8°,P 2325,Majoristischer Streit,Leipzig,1553
01-1403,4°,S 1698,Majoristischer Streit,Leipzig,1551
01-1490,8°,vacat,Majoristischer Streit,Leipzig,1560
01-1418,4°,L 7272,majoristischer Streit?,Leipzig,1551
01-0196,4°,A 2174,Obrigkeitliche Dokumente,Leipzig,1576
01-0582,2°,M 2896,Obrigkeitliche Dokumente,Leipzig,1562
01-1037,8°,C 4808,obrigkeitliche Dokumente,Leipzig,1554
01-1170,2°,M 2884,Obrigkeitliche Dokumente,Leipzig,1561
01-1561,8°,C 4807,obrigkeitliche Dokumente,Leipzig,1554
01-0481,4°,K 2005,obrigkeitliche Dokumente / allgemeiner Druck,Leipzig,1580
01-1036,8°,A 1745,Osiandrischer Streit,Leipzig,1554
01-1238,8°,T 782,Praedestinatianischer Streit,Leipzig,1564
01-1962,4°,S 808,Schmalkaldischer Krieg,Leipzig,1546
01-1033,8°,M 4140,Stancaristischer Streit,Leipzig,1553
01-0163,4°,M 2610,Synergistischer Streit,Leipzig,1570
01-1047,8°,C 4824,Synergistischer Streit,Leipzig,1561
01-1535,2°,B 3210,Synergistischer Streit,Leipzig,1563
01-1801,8°,P 2327,Synergistischer Streit,Leipzig,1555
01-1125,8°,P 2335,Synergistischer Streit?,Leipzig,1558
01-1308,8°,S 1734,Widerstand gegen das Augsburger Interim,Leipzig,1549
01-0728,4°,S 5148,Wormser Gespräch,Leipzig,1557
01-1044,4°,S 5139,Wormser Gespräch,Leipzig,1557
01-1924,4°,I 290,Konkordienformel,Lemgo,1580
01-1917,8°,--,Abendmahlslehre und Christologie,London,1552
01-2064,8°,--,Widerstand gegen das Augsburger Interim,London,1548
01-2027,8°,B 6869,Abendmahlslehre und Christologie,Lübeck,1570
01-0734,8°,M 160,Adiaphoristischer Streit,Lübeck,1557
01-1670,8°,A 387,Adiaphoristischer Streit / Widerstand gegen das Augsburger Interim,Lübeck,1551
01-0109,4°,W 2759,Majoristischer Streit,Lübeck,1568
01-0862,4°,B 490,Osiandrischer Streit,Lübeck,1552
01-1080,8°,B 8035,Osiandrischer Streit,Lübeck,1552
01-0944,4°,M 4329,Widerstand gegen das Augsburger Interim / Adiaphoristischer Streit,Lübeck,1548
01-1692,4°,W 2707,Allgemeiner Druck,Magdeburg,1565
01-0170,4°,T 215,Abendmahlslehre und Christologie,Magdeburg,1575
01-0554,4°,P 4751,Abendmahlslehre und Christologie,Magdeburg,1561
01-0563,8°,C 2213,Abendmahlslehre und Christologie,Magdeburg,1561
01-0688,4°,K 2202,Abendmahlslehre und Christologie,Magdeburg,1555
01-0815,4°,P 4749,Abendmahlslehre und Christologie,Magdeburg,1560
01-0818,4°,H 3026,Abendmahlslehre und Christologie,Magdeburg,1560
01-0820,k. A.,B 1557,Abendmahlslehre und Christologie,Magdeburg,1560
01-0821,4°,M 5864,Abendmahlslehre und Christologie,Magdeburg,1560
01-0870,8°,W 2274,Abendmahlslehre und Christologie,Magdeburg,1557
01-0887,4°,V 767,Abendmahlslehre und Christologie,Magdeburg,1550
01-0891,8°,W 2287,Abendmahlslehre und Christologie,Magdeburg,1552
01-0938,4°,H 3155,Abendmahlslehre und Christologie,Magdeburg,1562
01-1087,8°,W 2308,Abendmahlslehre und Christologie,Magdeburg,1553
01-1146,4°,H 3130,Abendmahlslehre und Christologie,Magdeburg,1560
01-1194,8°,H 3104,Abendmahlslehre und Christologie,Magdeburg,1561
01-1586,4°,P 4750,Abendmahlslehre und Christologie,Magdeburg,1560
01-0555,4°,M 5875,Abendmahlslehre und Christologie / Allgemeiner Druck,Magdeburg,1561
01-1406,4°,G 255,Adiaphoristischer / Majoristischer Streit,Magdeburg,1552
01-0665,8°,F 1470,Adiaphoristischer Streit,Magdeburg,1553
01-0768,4°,V 2618,Adiaphoristischer Streit,Magdeburg,1550
01-0836,4°,P 1822,Adiaphoristischer Streit,Magdeburg,1551
01-0865,8°,F 1429,Adiaphoristischer Streit,Magdeburg,1550
01-0869,4°,G 259,Adiaphoristischer Streit,Magdeburg,1550
01-0876,8°,F 1425,Adiaphoristischer Streit,Magdeburg,1550
01-0879,8°,F 1355,Adiaphoristischer Streit,Magdeburg,1550
01-0880,8°,F 1296,Adiaphoristischer Streit,Magdeburg,1550
01-0881,8°,W 2293,Adiaphoristischer Streit,Magdeburg,1550
01-0883,8°,W 2279,Adiaphoristischer Streit,Magdeburg,1550
01-0884,4°,F 1448,Adiaphoristischer Streit,Magdeburg,1550
01-0885,4°,F 1327,Adiaphoristischer Streit,Magdeburg,1550
01-0908,4°,W 2702,Adiaphoristischer Streit,Magdeburg,1559
01-0920,4°,S 7111,Adiaphoristischer Streit,Magdeburg,1550
01-0921,8°,E 1702,Adiaphoristischer Streit,Magdeburg,1550
01-0927,8°,F 1444,Adiaphoristischer Streit,Magdeburg,1549
01-0928,8°,W 2286,Adiaphoristischer Streit,Magdeburg,1549
01-0929,8°,F 1367,Adiaphoristischer Streit,Magdeburg,1549
01-0930,8°,L 3724,Adiaphoristischer Streit,Magdeburg,1549
01-0931,8°,E 1673,Adiaphoristischer Streit,Magdeburg,1549
01-0942,4°,L 181,Adiaphoristischer Streit,Magdeburg,1549
01-0954,4°,F 1493,Adiaphoristischer Streit,Magdeburg,1549
01-0956,4°,W 2268,Adiaphoristischer Streit,Magdeburg,1549
01-0962,8°,Z 464,Adiaphoristischer Streit,Magdeburg,1549
01-0963,8°,F 1250,Adiaphoristischer Streit,Magdeburg,1550
01-0964,8°,F 1297,Adiaphoristischer Streit,Magdeburg,1550
01-0965,8°,W 2279,Adiaphoristischer Streit,Magdeburg,1550
01-0966,8°,F 1376,Adiaphoristischer Streit,Magdeburg,1550
01-0971,8°,G 267,Adiaphoristischer Streit,Magdeburg,1550
01-0972,8°,G 253,Adiaphoristischer Streit,Magdeburg,1550
01-0975,4°,A 2331,Adiaphoristischer Streit,Magdeburg,1550
01-0978,8°,E 1672,Adiaphoristischer Streit,Magdeburg,1549
01-0979,8°,L 3469,Adiaphoristischer Streit,Magdeburg,1549
01-0983,4°,B 7789,Adiaphoristischer Streit,Magdeburg,1549
01-0985,4°,L 4541,Adiaphoristischer Streit,Magdeburg,1550
01-0988,4°,G 260,Adiaphoristischer Streit,Magdeburg,1550
01-0989,4°,A 2358,Adiaphoristischer Streit,Magdeburg,1550
01-0992,4°,G 269,Adiaphoristischer Streit,Magdeburg,1550
01-0996,4°,N 1581,Adiaphoristischer Streit,Magdeburg,1550
01-0999,4°,A 2333,Adiaphoristischer Streit,Magdeburg,1550
01-1002,8°,F 1471,Adiaphoristischer Streit,Magdeburg,1549
01-1003,8°,W 2306,Adiaphoristischer Streit,Magdeburg,1549
01-1005,8°,W 2291,Adiaphoristischer Streit,Magdeburg,1549
01-1008,8°,F 1264,Adiaphoristischer Streit,Magdeburg,1549
01-1010,8°,W 2267,Adiaphoristischer Streit,Magdeburg,1549
01-1011,8°,F 1490,Adiaphoristischer Streit,Magdeburg,1549
01-1013,8°,F 1329,Adiaphoristischer Streit,Magdeburg,1550
01-1014,8°,L 3725,Adiaphoristischer Streit,Magdeburg,1549
01-1022,8°,F 1261,Adiaphoristischer Streit,Magdeburg,1551
01-1025,8°,F 1260,Adiaphoristischer Streit,Magdeburg,1551
01-1031,8°,W 2281,Adiaphoristischer Streit,Magdeburg,1553
01-1062,4°,A 2343,Adiaphoristischer Streit,Magdeburg,1551
01-1063,4°,A 2340,Adiaphoristischer Streit,Magdeburg,1551
01-1065,4°,C 2368,Adiaphoristischer Streit,Magdeburg,1551
01-1066,4°,F 1427,Adiaphoristischer Streit,Magdeburg,1551
01-1067,4°,F 1523,Adiaphoristischer Streit,Magdeburg,1551
01-1073,8°,G 268,Adiaphoristischer Streit,Magdeburg,1551
01-1075,8°,P 1821,Adiaphoristischer Streit,Magdeburg,1551
01-1134,4°,M 152,Adiaphoristischer Streit,Magdeburg,1550
01-1135,4°,P 2284,Adiaphoristischer Streit,Magdeburg,1550
01-1136,4°,M 148,Adiaphoristischer Streit,Magdeburg,1550
01-1137,4°,W 2302,Adiaphoristischer Streit,Magdeburg,1550
01-1138,4°,S 10225,Adiaphoristischer Streit,Magdeburg,1550
01-1139,4°,F 1259,Adiaphoristischer Streit,Magdeburg,1551
01-1249,4°,ZV 10054,Adiaphoristischer Streit,Magdeburg,1548
01-1256,4°,F 1522,Adiaphoristischer Streit,Magdeburg,1550
01-1257,4°,H 2352,Adiaphoristischer Streit,Magdeburg,1548
01-1286,4°,M 2392,Adiaphoristischer Streit,Magdeburg,1548
01-1290,4°,M 2992,Adiaphoristischer Streit,Magdeburg,1550
01-1291,4°,T 762,Adiaphoristischer Streit,Magdeburg,1549
01-1293,4°,T 1315,Adiaphoristischer Streit,Magdeburg,1549
01-1294,4°,F 1559,Adiaphoristischer Streit,Magdeburg,1549
01-1295,4°,G 252,Adiaphoristischer Streit,Magdeburg,1550
01-1296,4°,E 1674,Adiaphoristischer Streit,Magdeburg,1549
01-1297,4°,A 2323,Adiaphoristischer Streit,Magdeburg,1549
01-1298,4°,F 1266,Adiaphoristischer Streit,Magdeburg,1549
01-1301,4°,L 3726,Adiaphoristischer Streit,Magdeburg,1549
01-1303,4°,L 5859,Adiaphoristischer Streit,Magdeburg,1549
01-1304,4°,ZV 10271,Adiaphoristischer Streit,Magdeburg,1549
01-1305,4°,F 1370,Adiaphoristischer Streit,Magdeburg,1549
01-1306,8°,ZV 10655,Adiaphoristischer Streit,Magdeburg,1549
01-1307,8°,W 3723,Adiaphoristischer Streit,Magdeburg,1549
01-1309,4°,A 2327,Adiaphoristischer Streit,Magdeburg,1549
01-1310,4°,M 1894,Adiaphoristischer Streit,Magdeburg,1549
01-1314,4°,S 1704,Adiaphoristischer Streit,Magdeburg,1549
01-1318,4°,L 3727?,Adiaphoristischer Streit,Magdeburg,1549
01-1319,k. A.,F 1369,Adiaphoristischer Streit,Magdeburg,1549
01-1320,4°,M 134,Adiaphoristischer Streit,Magdeburg,1549
01-1321,4°,L 4281,Adiaphoristischer Streit,Magdeburg,1549
01-1322,4°,ZV 5899,Adiaphoristischer Streit,Magdeburg,1549
01-1324,4°,M 135,Adiaphoristischer Streit,Magdeburg,1549
01-1325,4°,F 1557,Adiaphoristischer Streit,Magdeburg,1549
01-1326,4°,A 2324,Adiaphoristischer Streit,Magdeburg,1549
01-1334,4°,T 761,Adiaphoristischer Streit,Magdeburg,1549
01-1336,4°,F 1492,Adiaphoristischer Streit,Magdeburg,1549
01-1338,4°,F 1407,Adiaphoristischer Streit,Magdeburg,1549
01-1340,4°,G 276,Adiaphoristischer Streit,Magdeburg,1550
01-1341,4°,C 3966,Adiaphoristischer Streit,Magdeburg,1550
01-1342,4°,W 3724,Adiaphoristischer Streit,Magdeburg,1550
01-1343,4°,F 1300,Adiaphoristischer Streit,Magdeburg,1550
01-1344,4°,F 1447,Adiaphoristischer Streit,Magdeburg,1550
01-1345,4°,F 1562,Adiaphoristischer Streit,Magdeburg,1550
01-1346,4°,L 3471,Adiaphoristischer Streit,Magdeburg,1550
01-1347,4°,A 2338,Adiaphoristischer Streit,Magdeburg,1550
01-1348,4°,F 1374,Adiaphoristischer Streit,Magdeburg,1550
01-1349,4°,F 1357,Adiaphoristischer Streit,Magdeburg,1550
01-1350,4°,W 2307,Adiaphoristischer Streit,Magdeburg,1550
01-1351,4°,W 2294,Adiaphoristischer Streit,Magdeburg,1550
01-1352,4°,K 402,Adiaphoristischer Streit,Magdeburg,1550
01-1353,4°,K 403,Adiaphoristischer Streit,Magdeburg,1550
01-1354,4°,F 1373,Adiaphoristischer Streit,Magdeburg,1550
01-1356,4°,R 3051,Adiaphoristischer Streit,Magdeburg,1550
01-1358,4°,F 1565,Adiaphoristischer Streit,Magdeburg,1550
01-1359,4°,S 7110,Adiaphoristischer Streit,Magdeburg,1550
01-1361,4°,N 1582,Adiaphoristischer Streit,Magdeburg,1550
01-1365,4°,K 1213,Adiaphoristischer Streit,Magdeburg,1551
01-1366,4°,ZV 19567,Adiaphoristischer Streit,Magdeburg,1551
01-1367,4°,C 2402,Adiaphoristischer Streit,Magdeburg,1551
01-1376,4°,F 1259?,Adiaphoristischer Streit,Magdeburg,1552
01-1400,8°,A 2378,Adiaphoristischer Streit,Magdeburg,1551
01-1402,4°,F 1403,Adiaphoristischer Streit,Magdeburg,1551
01-1407,4°,C 3967,Adiaphoristischer Streit,Magdeburg,1551
01-1408,4°,A 2353,Adiaphoristischer Streit,Magdeburg,1551
01-1409,4°,C 1941,Adiaphoristischer Streit,Magdeburg,1551
01-1410,4°,E 725,Adiaphoristischer Streit,Magdeburg,1551
01-1411,4°,A 2347,Adiaphoristischer Streit,Magdeburg,1551
01-1412,4°,F 1411,Adiaphoristischer Streit,Magdeburg,1551
01-1419,4°,F 1410,Adiaphoristischer Streit,Magdeburg,1551
01-1420,4°,A 2392,Adiaphoristischer Streit,Magdeburg,1551
01-1421,4°,F 1524,Adiaphoristischer Streit,Magdeburg,1551
01-1422,4°,P 4753,Adiaphoristischer Streit,Magdeburg,1551
01-1423,4°,R 2086,Adiaphoristischer Streit,Magdeburg,1551
01-1430,4°,L 3474,Adiaphoristischer Streit,Magdeburg,1552
01-1451,4°,Z 466,Adiaphoristischer Streit,Magdeburg,1550
01-1452,4°,M 1895,Adiaphoristischer Streit,Magdeburg,1549
01-1453,4°,L 3729,Adiaphoristischer Streit,Magdeburg,1550
01-1454,4°,L 5439,Adiaphoristischer Streit,Magdeburg,1549
01-1456,4°,F 1523,Adiaphoristischer Streit,Magdeburg,1551
01-1458,8°,C 2307,Adiaphoristischer Streit,Magdeburg,1551
01-1459,8°,W 3722,Adiaphoristischer Streit,Magdeburg,1549
01-1462,4°,P 4752,Adiaphoristischer Streit,Magdeburg,1551
01-1470,4°,E 4084,Adiaphoristischer Streit,Magdeburg,1553
01-1474,4°,A 3208,Adiaphoristischer Streit,Magdeburg,1550
01-1476,4°,A 2406,Adiaphoristischer Streit,Magdeburg,1551
01-1569,4°,P 1722,Adiaphoristischer Streit,Magdeburg,1550
01-1598,4°,A 3204,Adiaphoristischer Streit,Magdeburg,1551
01-1703,4°,L 3473,Adiaphoristischer Streit,Magdeburg,1552
01-1710,4°,M 149,Adiaphoristischer Streit,Magdeburg,1551
01-1725,4°,A 3206,Adiaphoristischer Streit,Magdeburg,1552
01-1765,8°,F 1574,Adiaphoristischer Streit,Magdeburg,1551
01-1965,4°,ZV 543,Adiaphoristischer Streit,Magdeburg,1551
01-2045,4°,W 2907,Adiaphoristischer Streit,Magdeburg,1559
01-2046,4°,G 292,Adiaphoristischer Streit,Magdeburg,1551
01-2051,4°,W 2280,Adiaphoristischer Streit,Magdeburg,1551
01-2052,4°,W 328,Adiaphoristischer Streit,Magdeburg,1551
01-2053,4°,A 2359,Adiaphoristischer Streit,Magdeburg,1551
01-1668,4°,E 4047,Adiaphoristischer Streit / allgemeine Schrift,Magdeburg,1554
01-0708,8°,F 1536,Adiaphoristischer Streit / Majoristischer Streit,Magdeburg,1556
01-1405,4°,F 1558,Adiaphoristischer Streit / Majoristischer Streit,Magdeburg,1552
01-0922,4°,S 926,Adiaphoristischer Streit / Obrigkeitliche Dokumente,Magdeburg,1550
01-0960,8°,S 927,Adiaphoristischer Streit / obrigkeitliche Dokumente,Magdeburg,1550
01-1274,4°,B 1847,Adiaphoristischer Streit / Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1282,4°,B 1846,Adiaphoristischer Streit / Widerstand gegen das Augsburger Interim,Magdeburg,1548
01-1888,8°,M 168,Adiaphoristischer Streit / Widerstand gegen das Augsburger Interim,Magdeburg,1551
01-0969,8°,P 5061,Adiaphoristischer Streit?,Magdeburg,1550
01-1023,8°,L 4490,Adiaphoristischer Streit?,Magdeburg,1550
01-0557,8°,H 3163,Allgemeiner Druck,Magdeburg,1561
01-0701,4°,W 2881,allgemeiner Druck,Magdeburg,1558
01-0837,4°,W 2790,Allgemeiner Druck,Magdeburg,1560
01-2007,8°,C 2131,Allgemeiner Druck,Magdeburg,1554
01-1267,8°,F 1863,allgemeiner Druck,Magdeburg,1548
01-1611,4°,A 2344,Allgemeiner Druck,Magdeburg,1564
01-1637,8°,W 2798,Allgemeiner Druck,Magdeburg,1558
01-1919,4°,W 326,Allgemeiner Druck,Magdeburg,1547
01-2039,8°,M 133,Allgemeiner Druck,Magdeburg,1563
01-1619,8°,F 1277,Antikatholisch,Magdeburg,1556
01-1642,4°,F 1512,Antikatholisch,Magdeburg,1553
01-1655,4°,F 1287,Antikatholisch,Magdeburg,1553
01-1728,8°,F 1310,Antikatholisch,Magdeburg,1550
01-1937,4°,A 2349,Antikatholisch,Magdeburg,1550
01-0845,8°,M 1604,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0863,8°,V 766,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0882,8°,F 1290,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0957,8°,F 1291,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0980,8°,K 400,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-0990,4°,F 1251,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0991,4°,F 1306,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0993,4°,K 1898,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-0997,4°,F 1519,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-1001,4°,O 1491,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-1012,8°,F 1304,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-1299,4°,V 667,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-1300,4°,A 3006,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-1302,4°,G 3303,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-1312,8°,F 1305,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-1455,4°,F 1563,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-1457,8°,F 1564,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1550
01-1478,4°,E 4646,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1551
01-1485,8°,E 1696,Antikatholisch / Adiaphoristischer Streit,Magdeburg,1549
01-0670,4°,S 1527,Antikatholisch / Widerstand gegen das Augsburger Interim,Magdeburg,1554
01-1876,8°,K 2208,Antikatholisch / Widerstand gegen das Augsburger Interim,Magdeburg,1553
01-1196,4°,H 3043,Erbsündenstreit,Magdeburg,1562
01-0858,4°,B 1458,k. A.,Magdeburg,1552
01-0461,4,ZV 10236,Magdeburger Streit,Magdeburg,1563
01-0501,4°,A 3008,Magdeburger Streit,Magdeburg,1563
01-0502,4°,A 2399,Magdeburger Streit,Magdeburg,1563
01-0534,4°,A 2412,Magdeburger Streit,Magdeburg,1564
01-0606,4°,M 131,Magdeburger Streit,Magdeburg,1562
01-0607,4°,M 132,Magdeburger Streit,Magdeburg,1562
01-1641,4°,V 2698,Magdeburger Streit,Magdeburg,1564
01-1680,4°,H 3066,Magdeburger Streit,Magdeburg,1564
01-1681,4°,H 3065,Magdeburger Streit,Magdeburg,1564
01-1682,4°,H 3067,Magdeburger Streit,Magdeburg,1564
01-1683,4°,H 2993,Magdeburger Streit,Magdeburg,1564
01-1684,4°,P 2363,Magdeburger Streit,Magdeburg,1563
01-1687,4°,H 3087,Magdeburger Streit,Magdeburg,1564
01-1688,8°,V 2452,Magdeburger Streit,Magdeburg,1563
01-1689,4°,A 3148,Magdeburger Streit,Magdeburg,1563
01-1704,4°,M 151,Magdeburger Streit,Magdeburg,1565
01-0293,4°,S 1159,Majoristischer Streit,Magdeburg,1567
01-0649,4°,F 1430,Majoristischer Streit,Magdeburg,1553
01-0655,4°,B 1455,Majoristischer Streit,Magdeburg,1553
01-0658,4°,P 4744,Majoristischer Streit,Magdeburg,1553
01-0664,4°,G 256,Majoristischer Streit,Magdeburg,1553
01-0746,4°,W 2901,Majoristischer Streit,Magdeburg,1558
01-0807,k. A.,A 2336,Majoristischer Streit,Magdeburg,1559
01-0852,4°,S 5883,Majoristischer Streit,Magdeburg,1553
01-1030,8°,L 4442,Majoristischer Streit,Magdeburg,1553
01-1094,8°,W 2714,Majoristischer Streit,Magdeburg,1555
01-1431,8°,A 2379,Majoristischer Streit,Magdeburg,1552
01-1463,2°,vacat,Majoristischer Streit,Magdeburg,1553
01-1559,8°,F 1389,Majoristischer Streit,Magdeburg,1554
01-1851,4°,B 1456,Majoristischer Streit,Magdeburg,1553
01-2043,4°,A 2397,Majoristischer Streit,Magdeburg,1553
01-1709,4°,S 6061,Majoristischer Streit / Antikatholisch,Magdeburg,1555
01-0774,8°,H 3655,Majoristischer Streit / Antinomistischer Streit,Magdeburg,1558
